pressure1,pressure2,pressure3,stress1,stress2,stress3,stress4,stress5,stress6,stress7,x,y,z
-0.00,-0.01,-0.10,10650,10215,9867,10042,10525,10178,10068,1.0,-364.0,-1.0
-0.00,-0.04,-0.05,10650,10214,9869,10042,10525,10179,10069,1.0,-364.0,-1.0
-0.04,-0.00,-0.05,10650,10214,9868,10041,10524,10179,10069,1.0,-364.0,0.0
-0.00,-0.00,-0.09,10650,10214,9868,10041,10524,10178,10070,1.0,-364.0,-1.0
-0.00,-0.00,-0.05,10650,10213,9867,10041,10525,10177,10070,1.0,-363.0,-1.0
-0.00,-0.00,-0.05,10650,10213,9866,10041,10525,10179,10069,1.0,-364.0,-1.0
-0.00,0.00,-0.09,10650,10213,9866,10041,10525,10179,10069,1.0,-364.0,-1.0
-0.00,0.00,-0.05,10650,10214,9866,10041,10524,10177,10069,1.0,-364.0,0.0
-0.00,0.00,-0.05,10650,10213,9867,10041,10524,10179,10069,0.0,-364.0,-1.0
-0.00,0.00,-0.05,10650,10214,9866,10042,10525,10178,10069,1.0,-364.0,0.0
-0.00,0.00,-0.05,10650,10213,9867,10040,10524,10178,10068,1.0,-364.0,-1.0
0.05,-0.00,-0.05,10650,10214,9866,10041,10525,10179,10069,1.0,-364.0,-1.0
0.09,-0.04,-0.14,10650,10214,9867,10040,10525,10179,10069,1.0,-364.0,-1.0
0.01,-0.00,-0.06,10650,10214,9867,10042,10524,10178,10068,0.0,-364.0,0.0
0.05,-0.00,-0.09,10650,10214,9867,10042,10525,10178,10069,1.0,-364.0,0.0
0.05,-0.00,-0.09,10650,10213,9867,10042,10524,10178,10069,1.0,-364.0,-1.0
0.00,0.04,-0.05,10650,10214,9867,10041,10525,10178,10068,1.0,-364.0,-1.0
0.04,0.05,-0.05,10650,10214,9866,10042,10524,10179,10070,1.0,-364.0,-1.0
0.05,0.00,-0.09,10650,10214,9867,10042,10525,10178,10070,1.0,-364.0,-1.0
0.05,0.00,-0.05,10650,10214,9867,10042,10525,10178,10070,1.0,-364.0,-1.0
0.05,-0.04,-0.09,10650,10213,9867,10043,10525,10178,10069,1.0,-364.0,-1.0
0.00,-0.00,-0.05,10650,10213,9866,10041,10524,10179,10069,1.0,-363.0,-1.0
0.00,-0.04,-0.05,10650,10214,9867,10042,10524,10178,10070,1.0,-364.0,-1.0
0.00,-0.00,-0.05,10649,10213,9867,10041,10525,10178,10070,1.0,-364.0,-1.0
0.04,-0.04,-0.09,10650,10214,9867,10042,10525,10178,10068,1.0,-364.0,-1.0
0.04,-0.04,-0.09,10650,10214,9867,10042,10525,10178,10068,1.0,-364.0,0.0
0.05,-0.00,-0.05,10650,10214,9867,10041,10525,10177,10069,1.0,-364.0,-1.0
0.09,-0.00,-0.09,10650,10214,9866,10042,10525,10178,10069,1.0,-364.0,0.0
0.05,-0.00,-0.10,10649,10214,9866,10043,10525,10179,10069,1.0,-364.0,-1.0
0.05,-0.00,-0.05,10650,10215,9867,10042,10525,10179,10069,1.0,-364.0,-1.0
0.05,-0.00,-0.09,10650,10213,9866,10041,10525,10178,10069,1.0,-364.0,-1.0
0.04,-0.00,-0.05,10650,10214,9867,10042,10524,10178,10069,1.0,-364.0,-1.0
0.05,-0.00,-0.09,10650,10213,9867,10042,10525,10178,10069,1.0,-364.0,-1.0
0.05,-0.00,-0.10,10650,10213,9866,10041,10525,10178,10069,1.0,-364.0,0.0
0.09,0.04,-0.10,10650,10214,9866,10041,10525,10178,10069,1.0,-364.0,-1.0
0.04,-0.09,,10650,10214,9868,10042,10525,10177,10069,1.0,-364.0,-1.0
0.10,-0.00,-0.10,10650,10214,9867,10042,10525,10178,10069,1.0,-364.0,-1.0
0.10,-0.00,-0.05,10650,10213,9867,10042,10524,10178,10068,1.0,-364.0,0.0
0.10,-0.00,-0.05,10650,10214,9867,10041,10524,10178,10070,1.0,-364.0,0.0
0.10,-0.04,-0.05,10650,10213,9867,10042,10524,10178,10068,1.0,-364.0,0.0
0.15,-0.00,-0.05,10650,10214,9867,10042,10525,10178,10070,1.0,-364.0,-1.0
0.15,-0.00,-0.09,10650,10213,9868,10042,10525,10177,10068,1.0,-364.0,0.0
0.15,-0.00,-0.05,10650,10214,9867,10041,10525,10178,10070,1.0,-364.0,-1.0
0.15,-0.00,-0.05,10650,10214,9866,10042,10525,10179,10068,1.0,-364.0,0.0
0.15,-0.04,-0.09,10650,10214,9866,10042,10525,10179,10068,1.0,-364.0,-1.0
0,-0.05,,10650,10213,9866,10041,10525,10178,10069,1.0,-364.0,-1.0
0.15,-0.00,-0.09,10650,10214,9866,10042,10525,10177,10069,1.0,-364.0,-1.0
0.19,-0.00,-0.10,10650,10214,9867,10041,10525,10178,10069,1.0,-364.0,0.0
